UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
7405,L54584,L,299.8,310.8,1553.0,32.2,161.0,1,Failure
7287,M22146,M,300.1,310.4,1480.0,37.1,77.0,0,No Failure
8570,L55749,L,297.9,308.6,1757.0,27.5,118.0,1,Power Failure
6779,M21638,M,301.3,310.7,1819.0,25.5,46.0,1,Heat Dissipation Failure
2565,L49744,L,299.3,309.1,1493.0,38.0,151.0,0,No Failure
5237,L52416,L,303.8,313.1,1394.0,45.4,36.0,0,No Failure
3909,L51088,L,302.3,311.2,1633.0,36.4,114.0,1,Failure
2310,L49489,L,299.1,308.6,1611.0,31.4,161.0,0,No Failure
7209,L54388,L,299.8,309.7,1707.0,29.1,94.0,0,No Failure
9379,L56558,L,297.6,308.3,1816.0,28.8,106.0,0,No Failure
6634,M21493,M,301.5,310.5,1737.0,29.3,114.0,0,No Failure
7860,M22719,M,300.5,311.9,1370.0,44.8,20.0,0,No Failure
3310,L50489,L,301.3,310.4,1384.0,50.1,88.0,0,No Failure
5877,L53056,L,301.5,311.1,1426.0,52.1,121.0,0,No Failure
5443,L52622,L,303.1,312.7,1353.0,51.8,97.0,1,Failure
3277,L50456,L,301.3,310.0,1438.0,40.9,7.0,0,No Failure
6075,M20934,M,301.0,310.8,1533.0,39.3,194.0,1,Heat Dissipation Failure
5278,L52457,L,303.5,312.9,1501.0,44.0,128.0,0,No Failure
9532,L56711,L,299.2,310.5,1458.0,44.1,91.0,0,No Failure
4300,L51479,L,301.7,310.1,1402.0,50.1,3.0,0,No Failure
4474,L51653,L,302.7,310.5,1551.0,35.9,6.0,1,Failure
9533,L56712,L,299.2,310.5,1384.0,48.7,93.0,0,No Failure
3366,M18225,M,301.4,310.6,1630.0,30.3,2.0,0,No Failure
1874,L49053,L,298.4,308.1,1367.0,57.8,92.0,0,No Failure
1126,M15985,M,296.7,307.8,1375.0,51.4,108.0,0,No Failure
6240,L53419,L,301.2,310.7,1644.0,31.6,166.0,0,No Failure
6266,L53445,L,300.8,310.3,1383.0,46.6,19.0,0,No Failure
451,M15310,M,297.6,308.7,1419.0,41.7,81.0,0,No Failure
3169,M18028,M,300.4,309.6,1614.0,30.3,161.0,0,No Failure
7806,L54985,L,299.9,311.4,1706.0,28.8,111.0,0,No Failure
8109,M22968,M,300.3,311.8,1607.0,33.7,199.0,0,No Failure
8994,M23853,M,297.2,307.9,1632.0,37.5,156.0,0,No Failure
4454,L51633,L,302.4,310.2,1400.0,53.7,175.0,0,No Failure
5182,L52361,L,304.0,313.1,1720.0,28.7,106.0,0,No Failure
9751,L56930,L,298.7,310.0,1555.0,32.6,197.0,0,No Failure
6265,L53444,L,300.9,310.4,1541.0,39.1,17.0,0,No Failure
4393,L51572,L,302.2,310.1,1458.0,45.1,15.0,0,No Failure
7389,M22248,M,299.8,310.6,1694.0,31.3,121.0,0,No Failure
1201,M16060,M,296.9,308.0,1430.0,55.9,71.0,1,Failure
3483,L50662,L,301.9,310.8,1540.0,37.6,83.0,1,Failure
5988,L53167,L,300.7,310.8,1608.0,39.5,202.0,0,No Failure
7938,L55117,L,300.8,311.7,1578.0,31.4,219.0,0,No Failure
3563,L50742,L,301.7,310.6,1471.0,43.8,80.0,1,Failure
5463,L52642,L,302.9,312.3,1889.0,22.8,148.0,0,No Failure
5794,L52973,L,301.8,311.3,1471.0,44.2,148.0,0,No Failure
5920,L53099,L,300.6,310.3,1414.0,50.6,25.0,0,No Failure
4365,H33778,H,302.1,310.1,1615.0,29.9,176.0,0,No Failure
8869,L56048,L,297.9,309.0,1456.0,46.5,52.0,0,No Failure
7282,L54461,L,300.0,310.2,1675.0,29.7,64.0,0,No Failure
9862,M24721,M,298.7,309.6,1800.0,24.8,78.0,0,No Failure
3726,H33139,H,302.3,311.1,1543.0,37.5,73.0,0,No Failure
467,L47646,L,297.2,308.5,1550.0,41.5,125.0,0,No Failure
7063,M21922,M,300.6,310.4,1407.0,51.1,157.0,0,No Failure
1511,M16370,M,298.1,308.7,1547.0,38.9,0.0,0,No Failure
5973,L53152,L,300.5,310.8,1445.0,46.6,155.0,1,Power Failure
5111,M19970,M,304.0,313.5,1732.0,26.2,126.0,0,No Failure
9645,L56824,L,299.3,310.4,1629.0,32.6,177.0,0,No Failure
1610,L48789,L,297.7,307.7,1581.0,34.9,31.0,0,No Failure
6664,L53843,L,301.3,310.4,1504.0,47.2,193.0,1,Failure
1713,L48892,L,298.3,307.9,1551.0,33.8,72.0,0,No Failure
3567,L50746,L,301.8,310.6,1295.0,62.3,91.0,0,No Failure
9904,M24763,M,298.7,309.2,1437.0,45.7,195.0,0,No Failure
5877,L53056,L,301.5,311.1,1426.0,52.1,121.0,0,No Failure
3418,L50597,L,301.6,310.6,1621.0,33.7,137.0,0,No Failure
8505,L55684,L,298.4,309.7,1419.0,41.3,159.0,0,No Failure
3819,L50998,L,302.1,310.7,1491.0,42.8,98.0,0,No Failure
9920,L57099,L,298.5,308.8,1305.0,58.7,26.0,0,No Failure
1484,L48663,L,298.0,308.9,1578.0,35.6,153.0,1,Failure
1563,L48742,L,298.2,308.3,2216.0,16.8,139.0,0,No Failure
9656,H39069,H,299.1,310.0,1431.0,49.5,205.0,0,No Failure
5128,M19987,M,304.3,313.5,2245.0,15.1,172.0,1,Power Failure
8496,L55675,L,298.3,309.4,1668.0,27.1,136.0,0,No Failure
3437,L50616,L,301.5,310.5,1466.0,48.1,189.0,0,No Failure
3795,M18654,M,302.2,310.8,1356.0,48.3,36.0,0,No Failure
9440,M24299,M,298.1,308.8,1433.0,48.2,62.0,0,No Failure
2491,H31904,H,299.1,308.8,1566.0,46.6,192.0,1,Failure
1861,L49040,L,297.8,307.6,1607.0,30.3,62.0,0,No Failure
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,1,Failure
3407,L50586,L,301.2,310.4,1470.0,44.0,113.0,0,No Failure
1205,L48384,L,296.9,308.0,1521.0,34.5,84.0,0,No Failure
2139,L49318,L,299.3,309.0,1734.0,30.6,154.0,0,No Failure
7166,L54345,L,300.2,310.1,1392.0,47.9,201.0,0,No Failure
9773,L56952,L,298.5,309.5,1561.0,34.8,35.0,0,No Failure
6075,M20934,M,301.0,310.8,1533.0,39.3,194.0,0,No Failure
4267,L51446,L,302.7,311.1,1440.0,39.5,146.0,0,No Failure
4254,M19113,M,302.6,311.0,1329.0,48.6,111.0,1,Failure
9472,M24331,M,298.6,309.4,1774.0,27.5,154.0,0,No Failure
1517,L48696,L,298.2,308.9,1278.0,54.0,18.0,0,No Failure
3025,L50204,L,300.5,309.6,1465.0,41.6,217.0,0,No Failure
9609,M24468,M,298.9,310.1,1513.0,41.5,80.0,0,No Failure
3005,M17864,M,300.5,309.9,1466.0,53.2,172.0,0,No Failure
2387,L49566,L,299.1,308.4,1543.0,37.9,130.0,0,No Failure
3918,L51097,L,302.6,311.7,1542.0,34.1,137.0,1,Power Failure
4491,L51670,L,302.5,310.4,1967.0,20.3,50.0,0,No Failure
6217,L53396,L,301.1,310.8,1724.0,27.5,101.0,0,No Failure
7377,L54556,L,299.5,310.0,1481.0,43.1,90.0,0,No Failure
2452,L49631,L,299.2,308.7,1650.0,30.5,93.0,0,No Failure
981,L48160,L,296.1,306.7,1409.0,42.8,134.0,0,No Failure
567,M15426,M,297.6,309.7,1541.0,33.7,165.0,0,No Failure
7946,L55125,L,300.8,311.7,1655.0,32.2,12.0,0,No Failure
3336,L50515,L,301.7,310.9,1705.0,31.2,146.0,0,No Failure
7133,L54312,L,300.5,309.9,1423.0,47.9,114.0,1,Heat Dissipation Failure
5254,L52433,L,303.5,313.0,1547.0,40.3,73.0,1,Failure
4572,L51751,L,302.8,310.9,1708.0,29.8,42.0,0,No Failure
7676,L54855,L,300.5,311.6,1447.0,45.4,204.0,0,No Failure
1179,L48358,L,297.3,308.5,1398.0,60.4,12.0,0,No Failure
7538,L54717,L,300.1,311.3,1305.0,64.7,66.0,0,No Failure
8417,M23276,M,298.8,310.1,1585.0,31.3,147.0,0,No Failure
7560,M22419,M,300.4,311.4,1355.0,56.2,122.0,0,No Failure
4322,L51501,L,301.7,310.2,1686.0,28.9,59.0,0,No Failure
9314,L56493,L,298.5,309.4,1418.0,45.1,148.0,0,No Failure
3992,L51171,L,302.3,311.3,1682.0,34.4,127.0,0,No Failure
8617,L55796,L,297.6,308.6,1355.0,46.4,13.0,1,Failure
1016,L48195,L,296.2,307.2,1356.0,43.6,22.0,0,No Failure
2910,L50089,L,300.7,309.6,1500.0,44.1,122.0,0,No Failure
8037,L55216,L,300.7,311.7,1460.0,46.1,15.0,0,No Failure
8232,L55411,L,299.1,310.5,1419.0,48.8,76.0,0,No Failure
408,M15267,M,297.4,308.5,1600.0,42.1,190.0,0,No Failure
3007,L50186,L,300.4,309.7,1488.0,35.7,177.0,0,No Failure
9321,L56500,L,298.4,309.3,1409.0,43.1,166.0,0,No Failure
7992,L55171,L,301.1,312.3,1534.0,39.0,129.0,0,No Failure
9596,H39009,H,299.0,310.1,1432.0,50.0,45.0,0,No Failure
4249,L51428,L,302.6,311.0,1506.0,37.2,95.0,0,No Failure
1014,M15873,M,296.1,307.2,1619.0,29.7,17.0,0,No Failure
425,L47604,L,297.3,308.4,1430.0,45.7,15.0,0,No Failure
6680,L53859,L,301.6,310.8,1392.0,42.4,3.0,0,No Failure
5259,M20118,M,303.5,312.9,1572.0,44.7,84.0,0,No Failure
9193,L56372,L,297.9,309.0,1562.0,35.8,40.0,0,No Failure
8632,H38045,H,297.3,308.3,1506.0,37.0,54.0,0,No Failure
8789,L55968,L,297.4,308.5,1369.0,53.2,43.0,0,No Failure
4048,L51227,L,301.9,311.0,1455.0,46.0,29.0,0,No Failure
5724,M20583,M,302.3,311.8,1475.0,48.0,180.0,0,No Failure
628,L47807,L,298.4,310.1,1455.0,42.2,94.0,0,No Failure
135,L47314,L,298.8,308.4,1369.0,53.0,138.0,0,No Failure
2946,H32359,H,300.7,309.6,1925.0,20.5,9.0,0,No Failure
8833,L56012,L,297.4,308.8,1651.0,34.1,163.0,0,No Failure
197,H29610,H,298.3,308.6,1432.0,49.5,91.0,0,No Failure
1695,L48874,L,298.0,307.5,1618.0,35.2,31.0,0,No Failure
582,L47761,L,297.8,309.7,1394.0,42.9,206.0,1,Heat Dissipation Failure
5907,L53086,L,300.7,310.3,1533.0,35.6,198.0,0,No Failure
4113,H33526,H,301.9,310.5,1472.0,39.7,187.0,1,Overstrain Failure
532,L47711,L,297.6,309.5,1549.0,34.9,68.0,0,No Failure
1317,L48496,L,299.0,310.3,1507.0,36.7,173.0,0,No Failure
2055,M16914,M,299.6,309.4,1605.0,29.8,142.0,0,No Failure
4446,L51625,L,302.5,310.2,1716.0,29.9,156.0,0,No Failure
7026,H36439,H,300.6,310.6,1448.0,44.7,55.0,0,No Failure
1259,L48438,L,297.5,308.9,1427.0,50.4,17.0,0,No Failure
5341,L52520,L,303.5,312.7,1393.0,49.3,82.0,0,No Failure
6979,L54158,L,300.7,311.1,1427.0,50.3,137.0,0,No Failure
2627,L49806,L,299.7,309.4,1650.0,29.8,93.0,0,No Failure
450,L47629,L,297.6,308.7,1622.0,37.9,79.0,1,Heat Dissipation Failure
8813,M23672,M,297.2,308.4,1378.0,41.9,97.0,0,No Failure
7172,M22031,M,300.2,310.2,1438.0,51.5,7.0,1,Heat Dissipation Failure
4589,L51768,L,302.8,311.0,1564.0,38.5,85.0,0,No Failure
3698,L50877,L,302.2,311.2,1928.0,23.1,2.0,0,No Failure
6573,L53752,L,301.4,310.7,1428.0,53.7,176.0,0,No Failure
5227,L52406,L,303.9,313.0,1403.0,48.3,10.0,0,No Failure
2988,M17847,M,300.6,309.8,1659.0,28.9,127.0,0,No Failure
7304,L54483,L,300.1,310.6,1374.0,45.4,119.0,0,No Failure
6315,M21174,M,301.0,310.4,1793.0,25.0,142.0,0,No Failure
1286,M16145,M,298.5,309.6,1492.0,41.7,100.0,0,No Failure
6316,M21175,M,301.0,310.4,1517.0,46.1,145.0,0,No Failure
1066,L48245,L,296.8,307.9,1718.0,25.2,148.0,0,No Failure
5792,M20651,M,301.8,311.3,1542.0,40.1,142.0,0,No Failure
2950,M17809,M,300.7,309.5,1470.0,48.7,21.0,0,No Failure
6657,M21516,M,301.4,310.4,1553.0,44.7,173.0,0,No Failure
4684,L51863,L,303.6,311.8,1736.0,32.9,99.0,0,No Failure
5403,L52582,L,302.7,312.3,1421.0,48.5,0.0,0,No Failure
5123,H34536,H,304.2,313.5,1684.0,29.8,156.0,0,No Failure
7417,M22276,M,300.1,311.2,1452.0,42.4,190.0,0,No Failure
5099,L52278,L,304.2,313.4,1475.0,40.2,98.0,0,No Failure
8307,M23166,M,298.7,310.1,1549.0,42.5,61.0,0,No Failure
2070,H31483,H,299.7,309.6,1553.0,41.0,179.0,0,No Failure
9340,L56519,L,298.5,309.0,1458.0,44.8,217.0,0,No Failure
4398,L51577,L,302.4,310.2,1539.0,37.7,29.0,1,Failure
5552,H34965,H,302.4,311.9,1366.0,47.3,162.0,0,No Failure
8251,M23110,M,299.0,310.4,1394.0,45.2,122.0,0,No Failure
9983,M24842,M,298.7,308.4,1507.0,45.7,192.0,0,No Failure
9112,L56291,L,297.6,308.6,1351.0,51.0,37.0,0,No Failure
3064,L50243,L,300.0,309.1,1431.0,45.4,90.0,0,No Failure
5430,L52609,L,302.8,312.4,1590.0,34.4,64.0,1,Failure
581,M15440,M,297.8,309.8,1798.0,25.5,203.0,0,No Failure
8326,M23185,M,298.7,309.5,1500.0,38.8,116.0,0,No Failure
8280,L55459,L,298.8,310.6,1803.0,25.4,209.0,1,Power Failure
8929,L56108,L,297.4,308.4,1531.0,41.5,213.0,0,No Failure
2760,L49939,L,299.7,309.1,1483.0,41.1,208.0,0,No Failure
7282,L54461,L,300.0,310.2,1675.0,29.7,64.0,0,No Failure
3292,M18151,M,301.2,310.1,1479.0,45.5,44.0,0,No Failure
4073,L51252,L,301.9,310.6,1610.0,33.4,87.0,0,No Failure
8608,L55787,L,297.5,308.4,1433.0,50.0,218.0,1,Failure
6494,L53673,L,300.7,309.8,1363.0,53.1,183.0,0,No Failure
8921,L56100,L,297.1,308.3,1496.0,45.8,190.0,0,No Failure
9490,L56669,L,298.9,309.7,1407.0,41.9,207.0,0,No Failure
2137,L49316,L,299.2,308.9,1588.0,41.5,150.0,1,Failure
9785,M24644,M,298.7,309.8,1435.0,48.8,71.0,0,No Failure
1767,M16626,M,298.3,307.7,1717.0,27.1,7.0,1,Power Failure
2538,H31951,H,298.9,308.7,1353.0,48.1,79.0,1,Random Failure
8820,H38233,H,297.4,308.7,1349.0,48.9,120.0,0,No Failure
1842,L49021,L,297.7,307.2,1668.0,37.8,5.0,0,No Failure
7067,M21926,M,300.8,310.7,1572.0,36.2,167.0,1,Failure
9021,L56200,L,297.3,308.2,1553.0,33.5,2.0,0,No Failure
2575,L49754,L,299.5,309.3,1972.0,19.3,177.0,0,No Failure
9220,M24079,M,297.7,308.8,1350.0,57.0,105.0,0,No Failure
9740,L56919,L,298.9,310.0,1515.0,42.9,170.0,0,No Failure
5899,L53078,L,301.0,310.7,1300.0,57.2,174.0,0,No Failure
7752,M22611,M,300.4,311.7,1398.0,42.6,176.0,1,Failure
5150,L52329,L,304.3,313.5,1452.0,41.5,15.0,0,No Failure
3058,L50237,L,300.1,309.1,1400.0,46.7,77.0,1,Failure
166,L47345,L,298.5,308.4,1733.0,26.0,8.0,1,Power Failure
5419,L52598,L,302.6,312.4,1398.0,41.6,40.0,0,No Failure
3846,L51025,L,302.3,311.0,1591.0,32.7,171.0,0,No Failure
3598,M18457,M,301.7,310.5,1724.0,33.0,171.0,0,No Failure
7258,L54437,L,300.2,310.4,1518.0,41.8,5.0,0,No Failure
5871,L53050,L,301.5,311.1,2055.0,16.8,105.0,0,No Failure
8671,L55850,L,297.5,308.9,1581.0,30.4,155.0,0,No Failure
1528,H30941,H,298.1,309.1,1425.0,44.5,49.0,0,No Failure
7745,L54924,L,300.4,311.7,1314.0,59.5,160.0,1,Heat Dissipation Failure
3539,L50718,L,302.0,311.1,1635.0,36.0,23.0,0,No Failure
2474,M17333,M,298.9,308.5,1555.0,37.6,142.0,0,No Failure
8022,M22881,M,301.0,312.0,1499.0,34.6,207.0,0,No Failure
1463,L48642,L,298.9,310.2,1706.0,27.6,103.0,0,No Failure
775,L47954,L,296.8,307.9,1448.0,48.8,31.0,0,No Failure
9166,L56345,L,297.6,308.6,1326.0,62.4,173.0,0,No Failure
5151,L52330,L,304.3,313.5,1590.0,29.8,17.0,0,No Failure
8772,L55951,L,297.5,308.6,1536.0,39.0,202.0,0,No Failure
5711,H35124,H,302.2,311.7,1413.0,46.5,147.0,0,No Failure
3611,M18470,M,301.7,310.8,1594.0,32.4,204.0,0,No Failure
9109,M23968,M,297.5,308.6,1440.0,38.8,29.0,1,Failure
3783,L50962,L,302.2,310.8,1827.0,23.8,9.0,0,No Failure
1551,L48730,L,298.4,308.9,1638.0,32.4,109.0,0,No Failure
169,L47348,L,298.4,308.3,1433.0,62.3,20.0,0,No Failure
7369,M22228,M,299.6,310.2,1620.0,30.0,70.0,0,No Failure
775,L47954,L,296.8,307.9,1448.0,48.8,31.0,1,Failure
7637,L54816,L,300.4,311.5,1704.0,29.7,103.0,0,No Failure
8863,M23722,M,298.0,309.2,1558.0,41.7,35.0,1,Failure
9400,L56579,L,297.8,308.3,1477.0,44.8,170.0,0,No Failure
8632,H38045,H,297.3,308.3,1506.0,37.0,54.0,0,No Failure
490,M15349,M,297.5,309.2,1347.0,55.8,188.0,0,No Failure
2664,L49843,L,299.9,309.3,1620.0,31.1,196.0,0,No Failure
2296,L49475,L,299.4,308.7,1512.0,37.2,126.0,0,No Failure
4743,L51922,L,303.3,311.3,1592.0,33.7,14.0,0,No Failure
7119,L54298,L,300.9,310.5,1565.0,35.9,81.0,0,No Failure
5303,L52482,L,303.9,313.1,1491.0,37.2,195.0,0,No Failure
3109,L50288,L,299.8,309.2,1504.0,38.7,212.0,1,Heat Dissipation Failure
1812,M16671,M,298.1,307.8,1569.0,31.2,131.0,1,Failure
9082,L56261,L,297.3,308.0,1527.0,35.1,165.0,0,No Failure
8016,M22875,M,301.0,312.0,1558.0,37.5,190.0,0,No Failure
3846,L51025,L,302.3,311.0,1591.0,32.7,171.0,0,No Failure
9775,H39188,H,298.6,309.5,1375.0,41.0,39.0,0,No Failure
2755,H32168,H,299.6,309.1,1630.0,32.3,194.0,0,No Failure
1791,L48970,L,298.2,307.9,1847.0,23.6,69.0,1,Failure
6152,L53331,L,301.1,311.2,1555.0,35.3,172.0,0,No Failure
2219,L49398,L,299.7,309.1,1713.0,33.5,141.0,0,No Failure
5782,M20641,M,301.7,311.1,1618.0,36.7,115.0,0,No Failure
2831,M17690,M,300.4,309.3,1411.0,41.6,160.0,0,No Failure
3751,L50930,L,302.3,311.1,1589.0,29.9,141.0,0,No Failure
9125,L56304,L,297.4,308.4,1426.0,50.4,70.0,0,No Failure
5837,L53016,L,301.2,311.1,1550.0,39.7,20.0,0,No Failure
201,L47380,L,298.4,308.6,1609.0,35.0,103.0,0,No Failure
9977,L57156,L,298.6,308.2,1705.0,26.3,177.0,1,Failure
4439,L51618,L,302.4,310.1,1418.0,52.3,141.0,0,No Failure
613,L47792,L,298.1,309.9,1563.0,32.8,51.0,0,No Failure
5749,M20608,M,302.2,311.7,1576.0,34.0,28.0,1,Heat Dissipation Failure
6296,H35709,H,301.1,310.6,1782.0,24.9,93.0,0,No Failure
6943,M21802,M,300.8,311.4,1732.0,26.9,45.0,0,No Failure
8957,L56136,L,297.4,308.1,1348.0,57.4,66.0,0,No Failure
172,L47351,L,298.2,308.1,1462.0,50.8,27.0,1,Random Failure
7307,L54486,L,300.1,310.5,1356.0,45.8,126.0,0,No Failure
542,L47721,L,297.4,309.4,1296.0,52.3,96.0,0,No Failure
2050,M16909,M,299.3,309.2,1586.0,37.9,129.0,0,No Failure
2921,L50100,L,300.7,309.7,1598.0,33.7,149.0,0,No Failure
3747,H33160,H,302.5,311.3,1393.0,47.5,130.0,0,No Failure
4795,L51974,L,303.6,312.6,1699.0,27.9,160.0,0,No Failure
1565,M16424,M,298.0,308.2,2090.0,19.0,143.0,0,No Failure
2067,L49246,L,299.7,309.6,1512.0,36.2,172.0,0,No Failure
737,L47916,L,296.9,308.3,1555.0,38.2,175.0,0,No Failure
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,0,No Failure
6859,L54038,L,301.0,311.2,1467.0,45.4,36.0,0,No Failure
5903,L53082,L,300.9,310.6,1598.0,35.4,186.0,0,No Failure
2883,L50062,L,300.6,309.6,1684.0,32.8,53.0,1,Failure
3698,L50877,L,302.2,311.2,1928.0,23.1,2.0,1,Failure
5920,L53099,L,300.6,310.3,1414.0,50.6,25.0,0,No Failure
155,L47334,L,298.4,308.2,1528.0,36.2,196.0,0,No Failure
2361,H31774,H,299.2,308.4,1388.0,53.2,59.0,0,No Failure
7140,L54319,L,300.6,310.1,1495.0,42.3,132.0,0,No Failure
481,L47660,L,297.4,309.0,1583.0,32.0,166.0,0,No Failure
7845,L55024,L,300.1,311.7,1503.0,42.6,208.0,0,No Failure
2766,M17625,M,299.9,309.4,1399.0,54.8,3.0,0,No Failure
1328,L48507,L,298.8,310.2,1814.0,26.8,204.0,0,No Failure
3119,M17978,M,300.2,309.5,1458.0,46.9,23.0,0,No Failure
7019,M21878,M,300.7,310.7,1377.0,46.7,36.0,1,Failure
1563,L48742,L,298.2,308.3,2216.0,16.8,139.0,0,No Failure
2747,L49926,L,299.7,309.2,1411.0,46.1,173.0,0,No Failure
8673,L55852,L,297.5,308.8,1312.0,50.3,159.0,0,No Failure
743,L47922,L,296.8,308.2,1643.0,34.7,191.0,0,No Failure
9463,L56642,L,298.5,309.3,1570.0,40.1,131.0,0,No Failure
4811,M19670,M,303.4,312.1,1499.0,39.4,197.0,0,No Failure
3496,M18355,M,301.9,311.0,1384.0,47.4,121.0,0,No Failure
4613,L51792,L,303.0,311.3,2194.0,16.5,148.0,1,Failure
8911,L56090,L,297.1,308.4,1550.0,37.0,167.0,0,No Failure
359,M15218,M,297.6,308.3,1467.0,36.7,68.0,0,No Failure
9628,M24487,M,298.9,310.0,1487.0,36.6,129.0,0,No Failure
1095,L48274,L,296.9,307.5,1354.0,44.4,16.0,0,No Failure
4350,L51529,L,301.9,309.7,1595.0,31.4,133.0,1,Failure
5042,L52221,L,304.0,313.2,1314.0,47.1,144.0,1,Power Failure
2410,L49589,L,299.1,308.5,1539.0,46.8,190.0,0,No Failure
8841,M23700,M,297.3,308.7,1542.0,37.0,184.0,0,No Failure
5216,M20075,M,303.7,312.7,1532.0,42.7,194.0,0,No Failure
5940,L53119,L,300.5,310.5,1409.0,60.9,73.0,0,No Failure
7393,M22252,M,299.7,310.5,1492.0,39.3,131.0,1,Failure
605,L47784,L,297.9,309.9,1542.0,33.8,33.0,0,No Failure
6179,L53358,L,301.1,310.9,1282.0,67.9,10.0,0,No Failure
3055,H32468,H,300.2,309.3,1342.0,48.7,68.0,0,No Failure
1759,L48938,L,298.1,307.4,1608.0,33.9,193.0,0,No Failure
6932,M21791,M,300.8,311.4,1521.0,39.9,15.0,0,No Failure
5019,M19878,M,303.9,313.0,1620.0,36.6,80.0,0,No Failure
6185,L53364,L,301.0,311.0,1553.0,35.8,26.0,0,No Failure
3516,M18375,M,301.9,311.1,1605.0,40.0,179.0,0,No Failure
397,L47576,L,297.4,308.3,1490.0,42.6,164.0,0,No Failure
8679,L55858,L,297.3,308.5,1514.0,44.5,177.0,0,No Failure
852,M15711,M,296.2,307.2,1389.0,48.6,7.0,0,No Failure
3257,L50436,L,301.1,309.8,1519.0,39.6,167.0,1,Failure
4184,L51363,L,302.3,310.7,1402.0,50.9,157.0,1,Heat Dissipation Failure
6747,M21606,M,301.7,311.1,1578.0,40.5,174.0,0,No Failure
6770,L53949,L,301.2,310.8,1392.0,52.6,23.0,0,No Failure
639,L47818,L,298.0,309.6,1536.0,37.3,120.0,0,No Failure
1198,M16057,M,296.9,307.9,1441.0,47.6,60.0,0,No Failure
4577,M19436,M,302.9,311.1,1926.0,21.8,58.0,0,No Failure
9553,M24412,M,299.3,310.8,1523.0,40.9,141.0,0,No Failure
2250,L49429,L,299.2,308.5,1442.0,46.5,11.0,1,Failure
9400,L56579,L,297.8,308.3,1477.0,44.8,170.0,1,Failure
9797,H39210,H,298.4,309.3,1694.0,30.9,111.0,0,No Failure
2633,M17492,M,300.0,309.7,1652.0,28.6,112.0,1,Failure
2101,M16960,M,299.3,309.3,1471.0,46.0,42.0,0,No Failure
3325,L50504,L,301.5,310.6,1578.0,34.1,120.0,0,No Failure
4722,L51901,L,303.5,311.8,1927.0,21.9,195.0,0,No Failure
1662,M16521,M,298.2,308.0,1411.0,47.2,168.0,0,No Failure
9399,H38812,H,297.7,308.2,1526.0,40.1,165.0,0,No Failure
4028,L51207,L,302.0,311.0,1566.0,37.8,218.0,0,No Failure
3292,M18151,M,301.2,310.1,1479.0,45.5,44.0,0,No Failure
3683,L50862,L,302.1,311.2,1550.0,34.8,177.0,1,Failure
6601,M21460,M,301.5,310.6,1424.0,47.0,26.0,0,No Failure
3194,L50373,L,300.0,309.1,1401.0,44.5,0.0,0,No Failure
4525,M19384,M,302.5,310.5,1527.0,38.8,136.0,0,No Failure
3611,M18470,M,301.7,310.8,1594.0,32.4,204.0,0,No Failure
3821,L51000,L,302.3,310.8,1421.0,41.4,102.0,0,No Failure
5337,L52516,L,303.2,312.4,1663.0,33.7,71.0,0,No Failure
8919,L56098,L,297.1,308.2,1402.0,51.2,186.0,0,No Failure
1885,M16744,M,298.0,307.6,1792.0,26.0,119.0,0,No Failure
5304,L52483,L,303.9,313.2,1481.0,44.1,197.0,0,No Failure
2731,L49910,L,299.6,309.2,1425.0,45.9,133.0,0,No Failure
441,L47620,L,297.4,308.5,1389.0,39.2,54.0,0,No Failure
8956,M23815,M,297.4,308.0,1355.0,55.1,63.0,0,No Failure
3243,L50422,L,300.9,309.6,1384.0,42.4,131.0,0,No Failure
4808,L51987,L,303.5,312.4,1503.0,36.5,191.0,0,No Failure
7111,M21970,M,300.8,310.4,1518.0,36.0,59.0,0,No Failure
2906,L50085,L,300.6,309.4,1552.0,36.4,113.0,0,No Failure
4401,L51580,L,302.3,310.1,1353.0,50.9,36.0,0,No Failure
2347,L49526,L,299.2,308.4,1402.0,47.7,24.0,0,No Failure
4038,M18897,M,302.0,310.8,1609.0,35.2,4.0,0,No Failure
980,L48159,L,296.2,306.8,1389.0,53.3,132.0,0,No Failure
1339,L48518,L,298.6,310.1,1721.0,27.2,5.0,0,No Failure
2303,L49482,L,299.2,308.5,1515.0,39.8,141.0,0,No Failure
392,L47571,L,297.6,308.6,1491.0,38.1,152.0,0,No Failure
9422,M24281,M,298.1,308.5,1382.0,54.5,17.0,0,No Failure
7962,L55141,L,301.0,312.2,1264.0,59.0,57.0,0,No Failure
1353,M16212,M,298.7,310.2,1598.0,33.3,36.0,1,Failure
6757,L53936,L,301.8,311.2,1840.0,26.6,202.0,0,No Failure
700,H30113,H,297.5,308.7,1416.0,39.2,74.0,0,No Failure
767,L47946,L,296.8,308.0,1561.0,38.3,9.0,0,No Failure
5826,L53005,L,301.3,311.1,1413.0,42.0,221.0,0,No Failure
9936,L57115,L,298.4,308.3,1452.0,48.5,73.0,0,No Failure
9784,H39197,H,298.8,309.9,1466.0,44.6,66.0,0,No Failure
7817,L54996,L,299.8,311.2,1533.0,35.9,137.0,0,No Failure
8592,L55771,L,297.4,307.9,1606.0,33.4,176.0,0,No Failure
2045,L49224,L,299.3,309.1,1470.0,41.1,118.0,0,No Failure
